Date,Category #,Category,Task,Hours
2026-06-05,1,AI Engineering curriculum,Program structure & day-by-day template design; cadence/calendar; authoring rules,3.0
2026-06-05,2,Medical RAG project setup,Dataset sourcing & evaluation (synthetic FHIR patient data — Synthea Coherent); data-structure review,3.0
2026-06-06,2,Medical RAG project setup,Neon PostgreSQL provisioning; Prisma schema + initial migration,3.0
2026-06-06,1,AI Engineering curriculum,Foundations + chunking module drafts (lesson units),3.0
2026-06-06,3,RAG pipeline development,Chunking lab scripts (parse / fixed-window / structure-aware / audit),2.0
2026-06-07,2,Medical RAG project setup,GitHub branch architecture (instructor/student/main) + reconciliation,4.0
2026-06-07,4,Student-facing instructional materials,Extraction test specs + setup docs (.env.example / README scaffolding),4.0
2026-06-09,3,RAG pipeline development,Embeddings + Pinecone vector index + semantic search,4.0
2026-06-09,1,AI Engineering curriculum,Embeddings/vector-search + query/agents module drafts,3.0
2026-06-10,3,RAG pipeline development,Ingestion script (FHIR -> Postgres) + upload route,3.0
2026-06-10,3,RAG pipeline development,Chat interface / agent / hybrid query orchestration,3.0
2026-06-10,3,RAG pipeline development,Reranking + retrieval evaluation harness,2.0
2026-06-13,5,Advanced module development (in progress),MCP server (tools / API-key auth / audit logging),3.0
2026-06-13,5,Advanced module development (in progress),SQL query analyzer / structured-output agent,2.0
2026-06-13,1,AI Engineering curriculum,MCP/observability + production-gates + capstone module drafts,3.0
2026-06-14,5,Advanced module development (in progress),Role-based access control + PII handling (sessions / role-shaped responses / specs),3.0
2026-06-14,4,Student-facing instructional materials,Student runnable exercises + worked-solution sections,3.0
2026-06-14,4,Student-facing instructional materials,End-to-end testing + verified reference links,3.0
